"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2015","3,560.00","4,025.00","4,160.00","3,408.00","926.73K","-10.58%"
"05/01/2015","3,981.00","4,170.00","4,412.00","3,922.00","1.78M","-2.19%"
"04/01/2015","4,070.00","3,450.00","4,142.00","3,447.00","891.88K","18.42%"
"03/01/2015","3,437.00","3,390.00","3,466.00","3,322.00","489.21K","1.72%"
"02/01/2015","3,379.00","3,395.00","3,511.00","3,362.00","369.33K","-0.76%"
"01/01/2015","3,405.00","3,338.00","3,470.00","3,292.00","630.89K","1.16%"
"12/01/2014","3,366.00","3,250.00","3,476.00","3,217.00","719.59K","2.00%"
"11/01/2014","3,300.00","3,300.00","3,392.00","3,186.00","677.20K","0.33%"
"10/01/2014","3,289.00","3,035.00","3,366.00","2,871.00","1.08M","7.38%"
"09/01/2014","3,063.00","3,338.00","3,338.00","3,024.00","1.51M","-8.78%"
"08/01/2014","3,358.00","3,640.00","3,699.00","3,305.00","1.24M","-7.72%"
"07/01/2014","3,639.00","4,052.00","4,099.00","3,614.00","1.20M","-11.11%"
"06/01/2014","4,094.00","4,560.00","4,565.00","3,898.00","1.17M","-10.84%"
"05/01/2014","4,592.00","4,715.00","4,799.00","4,320.00","1.07M","-3.88%"
"04/01/2014","4,777.50","4,325.00","4,855.00","4,325.00","906.99K","10.81%"
"03/01/2014","4,311.50","4,185.00","4,345.00","4,160.50","1.10M","3.52%"
"02/01/2014","4,165.00","3,919.00","4,215.00","3,845.50","882.18K","6.34%"
"01/01/2014","3,916.50","3,801.00","3,934.50","3,483.50","1.11M","2.55%"
"12/01/2013","3,819.00","3,889.50","3,914.00","3,726.00","895.19K","-1.34%"
"11/01/2013","3,871.00","3,900.00","4,020.00","3,800.00","1.21M","-1.12%"
"10/01/2013","3,915.00","3,502.00","3,928.00","3,470.00","2.09M","10.88%"
"09/01/2013","3,531.00","3,456.50","3,603.50","3,349.50","2.49M","1.76%"
"08/01/2013","3,470.00","2,980.00","3,698.50","2,897.00","2.66M","16.72%"
"07/01/2013","2,973.00","3,681.00","3,874.00","2,838.00","833.95K","-19.00%"
"06/01/2013","3,670.50","3,807.00","4,029.00","3,599.50","489.76K","-3.66%"
"05/01/2013","3,810.00","3,880.00","4,218.50","3,784.50","816.90K","-3.10%"
"04/01/2013","3,932.00","3,631.00","4,276.00","3,615.50","1.17M","7.99%"
"03/01/2013","3,641.00","3,315.00","3,762.00","3,285.00","659.34K","9.52%"
"02/01/2013","3,324.50","3,284.00","3,430.00","3,237.00","677.13K","1.13%"
"01/01/2013","3,287.50","3,214.00","3,313.50","3,082.00","944.83K","2.64%"
"12/01/2012","3,203.00","3,196.00","3,390.00","3,091.00","1.15M","-0.20%"
"11/01/2012","3,209.50","3,321.00","3,393.00","3,180.00","1.19M","-2.68%"
"10/01/2012","3,298.00","3,161.00","3,375.00","2,917.00","1.19M","3.01%"
"09/01/2012","3,201.50","3,930.00","4,058.00","3,145.00","1.77M","-18.90%"
"08/01/2012","3,947.50","4,410.00","4,789.50","3,925.00","1.10M","-9.68%"
"07/01/2012","4,370.50","3,980.00","5,064.50","3,944.50","1.55M","10.13%"
"06/01/2012","3,968.50","3,396.50","3,990.00","3,261.50","1.16M","16.57%"
"05/01/2012","3,404.50","3,625.00","3,736.00","3,132.00","2.01M","-6.07%"
"04/01/2012","3,624.50","3,099.00","3,671.50","3,062.00","1.63M","17.47%"
"03/01/2012","3,085.50","2,665.00","3,093.00","2,645.00","2.55M","15.63%"
"02/01/2012","2,668.50","2,460.00","2,674.50","2,420.00","2.12M","8.85%"
"01/01/2012","2,451.50","2,521.00","2,638.00","2,257.00","2.01M","-2.49%"
"12/01/2011","2,514.00","2,249.00","2,520.00","2,215.50","1.71M","12.06%"
"11/01/2011","2,243.50","2,183.00","2,284.00","2,163.00","1.14M","2.98%"
